project_id	size	size_source	size_simpl	size_simpl_source
mm.domus.SE001	medium	domus	medium	domus
mm.domus.SE002	medium	domus	medium	domus
mm.domus.SE003	medium	domus	medium	domus
mm.domus.SE004	very_small	domus	small	domus
mm.domus.SE005	small	domus	small	domus
mm.domus.SE006	very_small	domus	small	domus
mm.domus.SE007	tiny	domus	small	domus
mm.domus.SE008	very_small	domus	small	domus
mm.domus.SE009	small	domus	small	domus
mm.domus.SE011	very_small	domus	small	domus
mm.domus.SE012	very_small	domus	small	domus
mm.domus.SE013	large	domus	large	domus
mm.domus.SE014	small	domus	small	domus
mm.domus.SE015	very_large	domus	large	domus
mm.domus.SE016	medium	domus	medium	domus
mm.domus.SE017	huge	domus	huge	domus
mm.domus.SE018	large	domus	large	domus
mm.domus.SE019	very_small	domus	small	domus
mm.domus.SE020	small	domus	small	domus
mm.domus.SE021	medium	domus	medium	domus
mm.domus.SE022	large	domus	large	domus
mm.domus.SE023	small	domus	small	domus
mm.domus.SE024	medium	domus	medium	domus
mm.domus.SE026	small	domus	small	domus
mm.domus.SE027	medium	domus	medium	domus
mm.domus.SE028	very_small	domus	small	domus
mm.domus.SE029	small	domus	small	domus
mm.domus.SE030	very_large	domus	large	domus
mm.domus.SE031	small	domus	small	domus
mm.domus.SE032	very_small	domus	small	domus
mm.domus.SE033	very_large	domus	large	domus
mm.domus.SE034	small	domus	small	domus
mm.domus.SE035	very_small	domus	small	domus
mm.domus.SE036	medium	visitbritain	medium	visitbritain
mm.domus.SE037	very_small	domus	small	domus
mm.domus.SE038	tiny	domus	small	domus
mm.domus.SE039	very_large	domus	large	domus
mm.domus.SE040	small	domus	small	domus
mm.domus.SE041	medium	domus	medium	domus
mm.domus.SE042	small	domus	small	domus
mm.domus.SE043	medium	domus	medium	domus
mm.domus.SE044	small	domus	small	domus
mm.domus.SE045	small	domus	small	domus
mm.domus.SE046	very_small	domus	small	domus
mm.domus.SE047	large	domus	large	domus
mm.domus.SE048	very_large	domus	large	domus
mm.domus.SE049	medium	visitbritain	medium	visitbritain
mm.domus.SE050	small	domus	small	domus
mm.domus.SE051	small	domus	small	domus
mm.domus.SE052	very_small	domus	small	domus
mm.domus.SE053	small	domus	small	domus
mm.domus.SE054	medium	domus	medium	domus
mm.domus.SE056	very_small	domus	small	domus
mm.domus.SE057	small	domus	small	domus
mm.domus.SE058	small	domus	small	domus
mm.domus.SE059	very_small	domus	small	domus
mm.domus.SE060	medium	domus	medium	domus
mm.domus.SE061	very_small	domus	small	domus
mm.domus.SE062	very_small	domus	small	domus
mm.domus.SE063	medium	domus	medium	domus
mm.domus.SE064	very_large	domus	large	domus
mm.domus.SE065	medium	domus	medium	domus
mm.domus.SE066	medium	domus	medium	domus
mm.domus.SE067	large	domus	large	domus
mm.domus.SE068	tiny	domus	small	domus
mm.domus.SE069	very_small	domus	small	domus
mm.domus.SE070	very_large	domus	large	domus
mm.domus.SE071	large	domus	large	domus
mm.domus.SE072	small	domus	small	domus
mm.domus.SE073	huge	domus	huge	domus
mm.domus.SE074	small	domus	small	domus
mm.domus.SE075	small	domus	small	domus
mm.domus.SE076	unknown	unknown	unknown_sz	unknown
mm.domus.SE077	small	domus	small	domus
mm.domus.SE078	small	domus	small	domus
mm.domus.SE079	small	domus	small	domus
mm.domus.SE080	medium	domus	medium	domus
mm.domus.SE081	very_large	domus	large	domus
mm.domus.SE082	very_small	domus	small	domus
mm.domus.SE083	very_small	domus	small	domus
mm.domus.SE084	medium	domus	medium	domus
mm.domus.SE085	small	domus	small	domus
mm.domus.SE087	small	aim_size_designation	small	aim_size_designation
mm.domus.SE088	very_large	domus	large	domus
mm.domus.SE090	small	domus	small	domus
mm.domus.SE091	medium	domus	medium	domus
mm.domus.SE092	very_small	domus	small	domus
mm.domus.SE093	huge	domus	huge	domus
mm.domus.SE094	very_large	domus	large	domus
mm.domus.SE095	large	visitbritain	large	visitbritain
mm.domus.SE096	very_large	visitbritain	large	visitbritain
mm.domus.SE097	medium	domus	medium	domus
mm.domus.SE098	very_small	domus	small	domus
mm.domus.SE099	large	domus	large	domus
mm.domus.SE100	unknown	unknown	unknown_sz	unknown
mm.domus.SE101	very_large	visitbritain	large	visitbritain
mm.domus.SE102	small	visitbritain	small	visitbritain
mm.domus.SE103	small	ma(fam)	small	ma(fam)
mm.domus.SE104	unknown	unknown	unknown_sz	unknown
mm.domus.SE105	small	ma(fam)	small	ma(fam)
mm.domus.SE106	small	visitbritain	small	visitbritain
