project_id	OA2011_GSS
mm.aim82NM.118	S00135069
mm.aim82NM.119	E00106932
mm.aim82NM.120	S00129310
mm.aim82NM.121	S00129114
mm.aim82NM.122	E00128570
mm.aim82NM.123	E00024346
mm.aim82NM.124	E00157155
mm.aim82NM.125	W00002325
mm.aim82NM.126	E00088655
mm.aim82NM.127	E00166050
mm.aim82NM.128	E00097606
mm.aim82NM.129	E00147644
mm.aim82NM.130	S00094722
mm.aim82NM.131	E00107529
mm.aim82NM.133	E00168065
mm.domus.EM001	E00138038
mm.domus.EM003	E00132158
mm.domus.EM004	E00131523
mm.domus.EM005	E00139162
mm.domus.EM006	E00138917
mm.domus.EM007	E00138038
mm.domus.EM008	E00138038
mm.domus.EM009	E00142877
mm.domus.EM010	E00174335
mm.domus.EM011	E00143448
mm.domus.EM012	E00099227
mm.domus.EM013	E00133418
mm.domus.EM014	E00099138
mm.domus.EM015	E00142724
mm.domus.EM016	E00173553
mm.domus.EM017	E00070561
mm.domus.EM018	E00070561
mm.domus.EM019	E00070379
mm.domus.EM020	E00070379
mm.domus.EM021	E00173480
mm.domus.EM022	E00142309
mm.domus.EM023	E00070229
mm.domus.EM024	E00144391
mm.domus.EM025	E00143252
mm.domus.EM026	E00137275
mm.domus.EM027	E00132868
mm.domus.EM028	E00132737
mm.domus.EM029	E00133697
mm.domus.EM030	E00133848
mm.domus.EM031	E00134028
mm.domus.EM032	E00132461
mm.domus.EM033	E00173359
mm.domus.EM034	E00171187
mm.domus.EM035	E00171187
mm.domus.EM036	E00171215
mm.domus.EM037	E00099476
mm.domus.EM039	E00139071
mm.domus.EM040	E00131663
mm.domus.EM041	E00132306
mm.domus.EM042	E00144064
mm.domus.EM043	E00144475
mm.domus.EM044	E00144748
mm.domus.EM045	E00069554
mm.domus.EM046	E00173640
mm.domus.EM047	E00138038
mm.domus.EM048	E00171187
mm.domus.EM051	E00174334
mm.domus.EM052	E00098400
mm.domus.EM053	E00144377
mm.domus.EM054	E00144229
mm.domus.EM055	E00144414
mm.domus.EM056	E00144750
mm.domus.EM057	E00173553
mm.domus.EM058	E00137909
mm.domus.EM059	E00137909
mm.domus.EM060	E00070020
mm.domus.EM061	E00139154
mm.domus.EM063	E00169575
mm.domus.EM064	E00169502
mm.domus.EM065	E00169458
mm.domus.EM066	E00068661
mm.domus.EM067	E00168093
mm.domus.EM068	E00169575
mm.domus.EM069	E00068794
mm.domus.EM070	E00131397
mm.domus.EM071	E00069606
mm.domus.EM072	E00069624
mm.domus.EM073	E00131624
mm.domus.EM074	E00130876
mm.domus.EM075	E00131622
mm.domus.EM076	E00098240
mm.domus.EM077	E00132737
mm.domus.EM078	E00173514
mm.domus.EM079	E00137583
mm.domus.EM080	E00098987
mm.domus.EM081	E00098613
mm.domus.EM083	E00130840
mm.domus.EM084	E00138486
mm.domus.EM085	E00132067
mm.domus.EM086	E00174335
mm.domus.EM087	E00098476
mm.domus.EM088	E00133649
mm.domus.EM089	E00133743
mm.domus.EM090	E00132214
mm.domus.EM092	E00142888
mm.domus.EM093	E00098724
mm.domus.EM094	E00100423
mm.domus.EM095	E00137467
mm.domus.EM096	E00132577
mm.domus.EM097	E00144769
