project_id	mm_size
mm.domus.EM097	tiny
mm.domus.EM098	medium
mm.domus.EM099	tiny
mm.domus.EM100	unknown
mm.domus.EM101	small
mm.domus.EM102	very_small
mm.domus.EM103	small
mm.domus.EM104	medium
mm.domus.EM105	unknown
mm.domus.EM106	medium
mm.domus.EM107	unknown
mm.domus.EM108	tiny
mm.domus.EM109	very_small
mm.domus.EM110	very_small
mm.domus.EM111	unknown
mm.domus.EM112	unknown
mm.domus.NE001	very_large
mm.domus.NE002	tiny
mm.domus.NE003	tiny
mm.domus.NE004	very_large
mm.domus.NE005	medium
mm.domus.NE006	medium
mm.domus.NE007	medium
mm.domus.NE008	very_large
mm.domus.NE009	medium
mm.domus.NE011	very_large
mm.domus.NE012	medium
mm.domus.NE013	large
mm.domus.NE014	medium
mm.domus.NE015	small
mm.domus.NE016	large
mm.domus.NE017	medium
mm.domus.NE018	small
mm.domus.NE019	small
mm.domus.NE020	small
mm.domus.NE021	medium
mm.domus.NE022	medium
mm.domus.NE023	large
mm.domus.NE024	very_small
mm.domus.NE026	very_large
mm.domus.NE027	medium
mm.domus.NE028	very_large
mm.domus.NE029	medium
mm.domus.NE030	very_large
mm.domus.NE031	medium
mm.domus.NE032	very_large
mm.domus.NE033	large
mm.domus.NE035	very_small
mm.domus.NE036	small
mm.domus.NE037	small
mm.domus.NE038	large
mm.domus.NE039	medium
mm.domus.NE040	small
mm.domus.NE041	tiny
mm.domus.NE042	small
mm.domus.NE043	small
mm.domus.NE044	small
mm.domus.NE045	unknown
mm.domus.NE046	very_large
mm.domus.NE047	small
mm.domus.NE048	small
mm.domus.NE049	small
mm.domus.NE051	very_small
mm.domus.NE052	medium
mm.domus.NE053	small
mm.domus.NE054	small
mm.domus.NE055	very_small
mm.domus.NE056	medium
mm.domus.NE057	very_large
mm.domus.NE058	medium
mm.domus.NE061	small
mm.domus.NE062	small
mm.domus.NE063	small
mm.domus.NE064	large
mm.domus.NE065	small
mm.domus.NE066	medium
mm.domus.NE067	small
mm.domus.NE068	small
mm.domus.NE069	small
mm.domus.NE071	large
mm.domus.NE072	small
mm.domus.NE073	very_large
mm.domus.NE074	very_large
mm.domus.NE075	very_small
mm.domus.NE076	small
mm.domus.NE077	small
mm.domus.NE078	large
mm.domus.NE079	large
mm.domus.NE080	very_large
mm.domus.NE081	medium
mm.domus.NE082	small
mm.domus.NE083	medium
mm.domus.NI002	medium
mm.domus.NI003	medium
mm.domus.NI004	very_small
mm.domus.NI005	small
mm.domus.NI006	medium
mm.domus.NI007	tiny
mm.domus.NI008	large
mm.domus.NI009	small
mm.domus.NI010	medium
mm.domus.NI011	very_small
