museum_id	country_gss	country_name	region_gss	region_name
mm.domus.SC013	S92000003	Scotland	S92000003	Scotland
mm.domus.WA102	W92000004	Wales	W92000004	Wales
mm.aim.0422	E92000001	England	E12000009	South West
mm.aim.0423	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.aim.0420	E92000001	England	E12000007	London
mm.wiki.297	E92000001	England	E12000004	East Midlands
mm.aim.0425	E92000001	England	E12000004	East Midlands
mm.domus.SW159	E92000001	England	E12000009	South West
mm.wiki.290	E92000001	England	E12000006	East of England
mm.New.73	E92000001	England	E12000007	London
mm.domus.SE536	E92000001	England	E12000008	South East
mm.wiki.291	E92000001	England	E12000006	East of England
mm.aim.1189	S92000003	Scotland	S92000003	Scotland
mm.hha.021	E92000001	England	E12000008	South East
mm.domus.EM102	E92000001	England	E12000004	East Midlands
mm.wiki.128	E92000001	England	E12000006	East of England
mm.wiki.129	E92000001	England	E12000006	East of England
mm.wiki.126	E92000001	England	E12000006	East of England
mm.wiki.127	E92000001	England	E12000006	East of England
mm.wiki.124	E92000001	England	E12000006	East of England
mm.wiki.293	E92000001	England	E12000006	East of England
mm.wiki.122	E92000001	England	E12000006	East of England
mm.wiki.123	E92000001	England	E12000006	East of England
mm.wiki.121	E92000001	England	E12000006	East of England
mm.domus.YH166	E92000001	England	E12000003	Yorkshire and The Humber
mm.misc.210	E92000001	England	E12000006	East of England
mm.domus.YH164	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH165	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.WM039	E92000001	England	E12000005	West Midlands
mm.domus.YH163	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH160	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH161	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.WM035	E92000001	England	E12000005	West Midlands
mm.domus.WM034	E92000001	England	E12000005	West Midlands
mm.domus.WM037	E92000001	England	E12000005	West Midlands
mm.domus.WM036	E92000001	England	E12000005	West Midlands
mm.domus.WM031	E92000001	England	E12000005	West Midlands
mm.domus.WM030	E92000001	England	E12000005	West Midlands
mm.domus.YH168	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.WM032	E92000001	England	E12000005	West Midlands
mm.domus.EM101	E92000001	England	E12000004	East Midlands
mm.misc.214	E92000001	England	E12000002	North West
mm.domus.NW115	E92000001	England	E12000002	North West
mm.misc.241	E92000001	England	E12000006	East of England
mm.aim.1068	NA	NA	NA	NA
mm.misc.217	E92000001	England	E12000002	North West
mm.aim.1063	E92000001	England	E12000007	London
mm.domus.EM100	E92000001	England	E12000004	East Midlands
mm.domus.SC155	S92000003	Scotland	S92000003	Scotland
mm.domus.NW114	E92000001	England	E12000002	North West
mm.wiki.012	E92000001	England	E12000006	East of England
mm.wiki.013	E92000001	England	E12000006	East of England
mm.wiki.010	E92000001	England	E12000008	South East
mm.wiki.011	E92000001	England	E12000006	East of England
mm.wiki.016	E92000001	England	E12000006	East of England
mm.wiki.017	E92000001	England	E12000006	East of England
mm.wiki.014	E92000001	England	E12000006	East of England
mm.wiki.015	E92000001	England	E12000006	East of England
mm.wiki.018	E92000001	England	E12000006	East of England
mm.wiki.019	E92000001	England	E12000006	East of England
mm.ace.045	E92000001	England	E12000007	London
mm.ace.042	E92000001	England	E12000007	London
mm.domus.SE538	E92000001	England	E12000006	East of England
mm.domus.SE539	E92000001	England	E12000006	East of England
mm.wiki.196	E92000001	England	E12000008	South East
mm.domus.SE534	E92000001	England	E12000008	South East
mm.domus.SW118	E92000001	England	E12000009	South West
mm.ace.685	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.SE537	E92000001	England	E12000008	South East
mm.domus.SE530	E92000001	England	E12000008	South East
mm.domus.SE531	E92000001	England	E12000008	South East
mm.domus.SE532	E92000001	England	E12000008	South East
mm.domus.SE533	E92000001	England	E12000008	South East
mm.hud.007	E92000001	England	E12000008	South East
mm.hud.006	W92000004	Wales	W92000004	Wales
mm.domus.NI016	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.wiki.421	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.hud.005	E92000001	England	E12000008	South East
mm.hud.002	W92000004	Wales	W92000004	Wales
mm.domus.YH018	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.SW115	E92000001	England	E12000009	South West
mm.domus.YH016	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH017	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH014	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH015	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH012	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH013	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH010	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH011	E92000001	England	E12000003	Yorkshire and The Humber
mm.musa.186	E92000001	England	E12000004	East Midlands
mm.musa.184	S92000003	Scotland	S92000003	Scotland
mm.musa.182	NA	NA	NA	NA
mm.musa.183	E92000001	England	E12000008	South East
mm.musa.180	S92000003	Scotland	S92000003	Scotland
mm.musa.188	E92000001	England	E12000007	London
mm.musa.189	E92000001	England	E12000008	South East
mm.musa.340	E92000001	England	E12000007	London
mm.musa.341	S92000003	Scotland	S92000003	Scotland
mm.musa.342	S92000003	Scotland	S92000003	Scotland
mm.musa.343	E92000001	England	E12000008	South East
mm.musa.344	S92000003	Scotland	S92000003	Scotland
mm.musa.345	E92000001	England	E12000004	East Midlands
mm.musa.346	E92000001	England	E12000007	London
mm.musa.347	S92000003	Scotland	S92000003	Scotland
mm.New.217	E92000001	England	E12000007	London
mm.musa.349	S92000003	Scotland	S92000003	Scotland
mm.New.215	E92000001	England	E12000008	South East
mm.New.214	E92000001	England	E12000009	South West
mm.New.213	E92000001	England	E12000007	London
mm.New.212	E92000001	England	E12000009	South West
mm.New.211	E92000001	England	E12000002	North West
mm.domus.WM049	E92000001	England	E12000005	West Midlands
mm.domus.SE408	E92000001	England	E12000006	East of England
mm.domus.SE409	E92000001	England	E12000008	South East
mm.hha.142	E92000001	England	E12000002	North West
mm.misc.240	E92000001	England	E12000002	North West
mm.aim82NM.009	E92000001	England	E12000009	South West
mm.aim82NM.006	E92000001	England	E12000009	South West
mm.aim82NM.007	E92000001	England	E12000003	Yorkshire and The Humber
mm.aim82NM.004	E92000001	England	E12000002	North West
mm.aim82NM.005	E92000001	England	E12000005	West Midlands
mm.aim82NM.002	S92000003	Scotland	S92000003	Scotland
mm.aim82NM.003	S92000003	Scotland	S92000003	Scotland
mm.domus.SE406	E92000001	England	E12000007	London
mm.aim82NM.001	W92000004	Wales	W92000004	Wales
mm.wiki.207	E92000001	England	E12000006	East of England
mm.wiki.206	E92000001	England	E12000006	East of England
mm.domus.YH133	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH132	E92000001	England	E12000003	Yorkshire and The Humber
mm.mgs.316	S92000003	Scotland	S92000003	Scotland
mm.domus.WM040	E92000001	England	E12000005	West Midlands
mm.domus.NI015	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.hha.039	E92000001	England	E12000009	South West
mm.wiki.202	E92000001	England	E12000005	West Midlands
mm.wiki.201	E92000001	England	E12000005	West Midlands
mm.wiki.200	E92000001	England	E12000008	South East
mm.New.103	E92000001	England	E12000007	London
mm.New.102	E92000001	England	E12000007	London
mm.domus.WA061	W92000004	Wales	W92000004	Wales
mm.ace.266	E92000001	England	E12000004	East Midlands
mm.New.107	E92000001	England	E12000004	East Midlands
mm.New.106	E92000001	England	E12000006	East of England
mm.New.104	W92000004	Wales	W92000004	Wales
mm.New.109	W92000004	Wales	W92000004	Wales
mm.ace.1183	E92000001	England	E12000002	North West
mm.domus.YH099	E92000001	England	E12000003	Yorkshire and The Humber
mm.wiki.363	E92000001	England	E12000005	West Midlands
mm.domus.SE380	E92000001	England	E12000006	East of England
mm.misc.254	E92000001	England	E12000008	South East
mm.domus.SC196	S92000003	Scotland	S92000003	Scotland
mm.domus.EM071	E92000001	England	E12000004	East Midlands
mm.aim.1318	E92000001	England	E12000004	East Midlands
mm.aim.0338	E92000001	England	E12000008	South East
mm.wiki.270	E92000001	England	E12000004	East Midlands
mm.domus.SC198	S92000003	Scotland	S92000003	Scotland
mm.New.93	E92000001	England	E12000007	London
mm.domus.WM052	E92000001	England	E12000005	West Midlands
mm.domus.SC199	S92000003	Scotland	S92000003	Scotland
mm.misc.255	E92000001	England	E12000004	East Midlands
