project_id	LSOA2011_GSS
mm.domus.SE232	E01021142
mm.wiki.027	E01019017
mm.aim.0188	E01001589
mm.aim.0796	E01001595
mm.misc.168	E01028737
mm.domus.EM104	E01025720
mm.aim.1353	E01024603
mm.domus.SE233	E01000002
mm.Mus70Cal.010	E01030919
mm.domus.SE531	E01024484
mm.ace.1229	E01029497
mm.domus.SE526	E01028796
mm.domus.SC258	S01012701
mm.domus.SE312	E01032798
mm.wiki.065	E01019606
mm.domus.SE253	E01018110
mm.aim82M.010	E01014243
mm.hha.053	E01022206
mm.wiki.195	E01022591
mm.wiki.326	E01029128
mm.domus.WM107	E01029793
mm.aim.0191	E01031253
mm.domus.SW242	E01022186
mm.domus.SE234	E01021578
mm.domus.SW021	E01022127
mm.aim82NM.033	E01022116
mm.hha.005	E01017750
mm.domus.WA003	W01001587
mm.domus.NE077	E01027508
mm.domus.SE235	E01030659
mm.ace.1287	E01017792
mm.domus.NW026	E01018326
mm.aim82NM.036	E01018319
mm.wiki.021	E01018326
mm.domus.EM033	E01033387
mm.domus.NE017	E01027495
mm.domus.NW034	E01033658
mm.aim82NM.034	E01027390
mm.musa.083	E01031490
mm.domus.SE420	E01024455
mm.hha.150	E01027375
mm.hha.109	E01029617
mm.domus.SE237	E01017757
mm.aim82NM.037	E01017893
mm.misc.051	E01014251
mm.ace.516	E01031912
mm.aim82NM.055	E01022183
mm.musa.084	E01028780
mm.domus.WA092	W01000361
mm.wiki.397	E01015588
mm.domus.SE473	E01002577
mm.wiki.356	E01030764
mm.domus.SE390	E01028522
mm.aim.0200	E01031679
mm.domus.SE305	E01030010
mm.misc.073	E01020367
mm.mgs.398	S01011318
mm.domus.SE075	E01000244
mm.wiki.310	E01028776
mm.domus.WM109	E01013987
mm.ace.1172	E01004731
mm.domus.WM045	E01029792
mm.aim82M.009	W01000209
mm.wiki.148	E01022264
mm.fcm.051	E01013928
mm.domus.EM046	E01026122
mm.domus.SC076	S01008677
mm.wiki.155	E01000002
mm.domus.SE153	E01026549
mm.domus.SC150	S01007646
mm.mgs.361	S01010530
mm.domus.SC077	S01011981
mm.domus.SC075	S01010772
mm.aim.0204	S01007329
mm.aim82NM.057	S01010725
mm.domus.SC078	S01010531
mm.domus.SE553	E01030440
mm.aim82NM.053	E01020319
mm.domus.SE175	E01030101
mm.domus.YH166	E01011876
mm.ace.1234	E01017307
mm.domus.SE516	E01017714
mm.ace.1288	E01029455
mm.wiki.188	E01005092
mm.aim.0207	E01022264
mm.ace.1099	E01014752
mm.domus.NE018	E01033468
mm.domus.NE019	E01012092
mm.domus.NE049	E01012096
mm.domus.YH038	E01010729
mm.wiki.345	E01029961
mm.domus.YH055	E01007714
mm.fcm.056	E01003929
mm.ace.1149	E01001641
mm.domus.NW042	E01025338
mm.domus.WM023	E01028946
mm.domus.SW208	E01020490
mm.misc.131	W01000476
mm.misc.004	E01001744
mm.musa.090	E01029003
mm.domus.SC079	S01013128
mm.mgs.302	S01012182
mm.domus.WM125	E01014149
mm.domus.WM124	E01014148
mm.misc.079	S01008275
mm.domus.SW073	E01015583
mm.aim.0211	E01020121
mm.domus.SC294	S01008587
mm.domus.SE183	E01028811
mm.aim.0213	E01021378
mm.fcm.059	S01010685
mm.domus.SE071	E01021649
mm.domus.SW097	E01020063
mm.domus.SC036	S01012326
mm.wiki.142	E01022241
mm.domus.WM022	E01028938
mm.domus.NI038	95JJ21W1
mm.domus.SW209	E01029124
mm.domus.SW236	E01020153
mm.domus.SC224	S01010260
mm.aim.0215	E01026822
mm.domus.NW130	E01025228
mm.Mus70Cal.004	E01025223
mm.domus.YH050	E01011146
mm.aim.0217	E01021388
mm.aim.0218	E01021398
mm.aim.0219	E01024024
mm.domus.YH051	E01033691
mm.wiki.079	E01019899
mm.domus.SC143	S01011793
mm.domus.SW026	E01020099
mm.aim.0222	E01028804
mm.ace.1178	E01021890
mm.fcm.062	S01010529
mm.mgs.287	S01012292
mm.domus.SE471	E01002889
mm.misc.173	E01020170
mm.domus.WM123	E01031205
mm.aim.0228	S01009032
mm.domus.NW033	E01018402
mm.domus.SW092	E01020016
mm.ace.1291	E01018880
mm.wiki.438	W01000130
