GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
E01000831	9	8	9	10	9	7	6	3	england
E01000832	9	9	10	10	10	6	7	4	england
E01000833	10	10	10	10	10	7	9	7	england
E01000834	10	10	10	8	10	9	8	7	england
E01000835	8	7	9	8	9	7	5	6	england
E01000836	10	10	10	9	10	9	8	4	england
E01000837	7	6	6	8	9	5	7	5	england
E01000838	10	10	9	9	10	5	8	6	england
E01000839	10	10	10	9	10	6	8	6	england
E01000840	9	9	9	9	9	7	8	2	england
E01000841	10	9	9	9	10	6	7	7	england
E01000842	7	8	8	7	10	5	1	6	england
E01000843	5	4	7	7	8	6	1	5	england
E01000844	6	8	8	7	8	6	1	6	england
E01000845	7	6	9	8	8	3	2	8	england
E01000846	4	2	3	8	5	4	3	4	england
E01000847	5	3	5	8	7	6	2	6	england
E01000848	8	9	10	9	10	3	2	8	england
E01000849	7	9	10	8	9	7	1	7	england
E01000850	5	8	10	8	8	3	1	4	england
E01000851	6	9	10	9	10	5	1	3	england
E01000852	5	7	8	10	4	3	1	4	england
E01000853	2	2	2	6	3	4	1	2	england
E01000854	5	5	6	8	5	6	1	2	england
E01000855	5	8	9	10	9	3	1	3	england
E01000856	2	2	3	7	2	1	1	3	england
E01000857	6	4	5	10	6	6	2	8	england
E01000858	1	1	2	6	3	1	3	3	england
E01000859	8	8	9	10	10	5	1	8	england
E01000860	4	4	5	8	6	3	2	4	england
E01000861	2	3	4	8	4	1	1	4	england
E01000862	7	8	9	10	9	1	2	8	england
E01000863	2	3	3	6	2	1	1	4	england
E01000864	4	4	4	10	4	1	1	5	england
E01000865	6	7	8	10	7	1	2	5	england
E01000866	3	3	3	9	4	1	1	5	england
E01000867	2	2	2	4	2	2	1	3	england
E01000868	1	2	1	4	3	1	1	1	england
E01000869	4	3	4	8	2	3	1	5	england
E01000870	2	2	2	7	3	1	1	6	england
E01000871	6	5	5	9	8	2	3	6	england
E01000872	3	4	3	8	4	2	1	4	england
E01000873	8	7	8	7	9	6	2	9	england
E01000874	8	9	10	9	10	6	1	9	england
E01000875	4	4	4	4	6	2	1	5	england
E01000876	2	2	2	6	2	2	2	4	england
E01000877	7	7	7	10	8	5	2	7	england
E01000878	8	8	10	6	10	6	3	7	england
E01000879	9	9	10	10	10	4	2	8	england
E01000880	8	9	10	10	10	3	2	6	england
E01000881	6	7	8	8	8	3	1	5	england
E01000882	9	10	10	10	10	8	2	8	england
E01000883	7	8	10	9	10	2	1	6	england
E01000884	9	9	9	10	10	4	3	7	england
E01000885	8	10	10	7	10	5	3	4	england
E01000886	7	6	7	9	8	5	2	8	england
E01000887	6	5	6	9	6	3	2	7	england
E01000888	5	4	5	10	6	4	1	7	england
E01000889	2	2	2	4	2	3	3	4	england
E01000890	1	1	1	2	1	3	3	3	england
E01000891	1	1	1	3	1	1	3	2	england
E01000892	5	4	5	8	6	2	3	7	england
E01000893	8	10	9	10	10	4	2	7	england
E01000894	9	10	10	10	10	3	3	9	england
E01000895	7	5	7	8	6	7	2	8	england
E01000896	8	10	9	8	10	4	2	8	england
E01000897	9	10	10	9	10	3	2	9	england
E01000898	6	5	7	7	3	8	5	4	england
E01000899	9	10	10	10	10	3	2	8	england
E01000900	3	3	3	5	3	2	1	6	england
E01000901	2	1	2	4	3	2	3	3	england
E01000902	2	1	2	5	2	5	2	2	england
E01000903	5	4	5	10	6	3	1	7	england
E01000904	2	2	3	6	4	1	2	4	england
E01000905	2	1	2	4	2	2	2	3	england
E01000906	6	6	7	9	7	3	2	8	england
E01000907	2	1	2	6	3	4	4	5	england
E01000908	3	3	3	6	4	6	1	5	england
E01000909	7	6	6	9	9	5	3	8	england
E01000910	8	8	8	10	9	2	2	8	england
E01000911	5	4	4	8	7	3	3	7	england
E01000912	3	2	3	5	3	3	3	6	england
E01000913	8	10	10	10	10	2	3	5	england
E01000914	6	6	7	9	9	7	1	6	england
